Date	Open	High	Low	Close	Volume	Label
2-Aug-16	216.65	216.83	214.57	215.55	92295506	215.48
1-Aug-16	217.19	217.65	216.4	216.94	73311422	216.65
29-Jul-16	216.46	217.54	216.13	217.12	79519436	217.19
28-Jul-16	216.29	217.11	215.75	216.77	65035718	216.46
27-Jul-16	217.19	217.27	215.62	216.52	84083893	216.29
26-Jul-16	216.53	217.17	215.76	216.75	70080493	217.19
25-Jul-16	217	217.06	215.97	216.65	55873147	216.53
22-Jul-16	216.41	217.3	216.1	217.24	62787477	217
21-Jul-16	216.96	217.22	215.75	216.26	67777310	216.41
20-Jul-16	216.75	217.37	216.24	217.08	58159457	216.96
19-Jul-16	215.92	216.23	215.63	216.19	54345728	216.75
18-Jul-16	215.97	216.6	215.67	216.41	58725918	215.92
15-Jul-16	216.78	217.01	215.31	215.83	107155401	215.97
14-Jul-16	216.4	216.67	215.66	216.12	91230870	216.78
13-Jul-16	215.44	215.45	214.35	214.92	87324129	216.4
12-Jul-16	214.53	215.3	213.43	214.95	101275629	215.44
11-Jul-16	213.19	214.07	212.95	213.4	73633937	214.53
8-Jul-16	211.05	212.94	210.78	212.65	133970972	213.19
7-Jul-16	209.87	210.65	208.63	209.53	85593827	211.05
6-Jul-16	207.83	209.8	207.06	209.66	96021491	209.87
5-Jul-16	208.95	209.08	207.71	208.41	109803713	207.83
1-Jul-16	209.36	210.49	209.29	209.92	106055333	208.95
30-Jun-16	207.21	209.54	206.56	209.48	165021948	209.36
29-Jun-16	204.82	206.93	204.72	206.66	137328614	207.21
28-Jun-16	201.48	203.23	201.12	203.2	159382399	204.82
27-Jun-16	201.59	201.6	198.65	199.6	248988660	201.48
24-Jun-16	203.63	210.85	202.72	203.13	333444397	201.59
23-Jun-16	209.81	210.87	209.27	210.81	102731356	203.63
22-Jun-16	208.65	209.5	207.93	208.1	95560471	209.81
21-Jun-16	208.3	208.92	207.78	208.44	72461663	208.65
20-Jun-16	208.82	209.61	207.75	207.85	82789603	208.3
17-Jun-16	207.17	207.2	205.75	206.52	117055748	208.82
16-Jun-16	206.73	208.57	205.59	208.37	149533065	207.17
15-Jun-16	208.54	209.36	207.53	207.75	109124496	206.73
14-Jun-16	208	208.74	206.92	208.04	125059286	208.54
13-Jun-16	209.36	210.37	208.35	208.45	117751153	208
10-Jun-16	210.46	210.86	209.43	210.07	113829158	209.36
9-Jun-16	211.51	212.22	211.19	212.08	73786869	210.46
8-Jun-16	211.84	212.52	211.69	212.37	66170920	211.51
7-Jun-16	211.52	212.34	211.5	211.68	60974761	211.84
6-Jun-16	210.7	211.77	210.51	211.35	64887045	211.52
3-Jun-16	210.25	210.69	208.86	210.28	101757126	210.7
2-Jun-16	209.8	210.93	209.24	210.91	63044749	210.25
